ticker,quantity,avg_price,current_price,total_value,source,institution,asset_type,asset_class,category,profit_loss,profit_loss_pct
108 ativos,,0.0,0.0,2324732.01,MyProfit,,,,,,0.0
Tesouro Selic 2031,4726.0,16608.278326280153,332.10780787134996,1569541.5,"Kinvo, MyProfit",,,,,-76921181.87,-98.00034777026924
HYPE3,6106.1,27.797052947052943,55.5044955044955,338916.0,"B3, MyProfit",,,,,169184.415,99.67762629448139
VALE3,2939.937,52.144005994005994,104.04595404595405,305888.55,"B3, MyProfit",,,,,152588.45745,99.53578951704293
Tesouro Selic 2029,638.0,15910.91811912226,331.4044827586207,211436.06,"Kinvo, MyProfit",,,,,-9939729.700000001,-97.91712533319917
ENGI11,1901.9,46.419040959040956,92.74725274725274,176396.0,"B3, MyProfit",,,,,88111.626,99.80432777379154
HYPE3 - HYPERMARCAS,1.0,139202.62,167933.0,167933.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,28730.380000000005,20.639252335911497
VALE3 - VALE,1.0,200989.37,160444.71,160444.71,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-40544.66,-20.17253947310746
CSAN3,9209.2,8.122657342657343,16.253746253746254,149684.0,"B3, MyProfit",,,,,74880.82400000001,100.10380307916338
UGPA3,1399.9,16.997665547539107,76.32977355525395,106854.05,"B3, MyProfit",,,,,83059.01800000001,349.06033326620457
RADL3,3703.7,13.88863136863137,27.702297702297702,102601.0,"B3, MyProfit",,,,,51161.676,99.46024174034635
PRIO3,1101.1,43.97798201798202,87.77222777222778,96646.0,"B3, MyProfit",,,,,48221.844,99.5822085159316
BRAP4 - BRADESPAR,1.0,112706.88,90649.44,90649.44,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-22057.440000000002,-19.57062426002743
Western Asset US Index 500 FIM,1.0,27119.96,89411.82,89411.82,XP,,,,Fundos de Investimentos,62291.86000000001,229.69008803847797
BRAP4,5.712,19.4,15.65,89392.8,MyProfit,,,,,-21.419999999999987,-19.329896907216487
ENGI11 - ENERGISA,1.0,87963.21,88578.0,88578.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,614.7899999999936,0.698917195040965
BPAN4,5205.2,8.150609390609391,16.283716283716284,84760.0,"B3, MyProfit",,,,,42334.448,99.78526148581402
UGPA3 - ULTRAPAR,1.0,96110.77,83839.0,83839.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-12271.770000000004,-12.768360923546865
USIM5,8408.4,4.771458541458542,9.54045954045954,80220.0,"B3, MyProfit",,,,,40099.66799999999,99.94849494266397
CSAN3 - COSAN,1.0,86560.26,75808.0,75808.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-10752.259999999995,-12.42170483314167
ISAE4,1601.6,23.121888111888115,46.183816183816184,73968.0,"B3, MyProfit",,,,,36935.98399999999,99.7406784442953
PETR4,1101.1,32.529000999001,64.995004995005,71566.0,"B3, MyProfit",,,,,35748.31700000001,99.80633588163704
FLRY3,2602.6,13.021728271728271,26.023976023976026,67730.0,"B3, MyProfit",,,,,33839.65,99.85039989259481
EZTC3,2502.5,13.291018981018981,26.463536463536464,66225.0,"B3, MyProfit",,,,,32964.225,99.10840922979095
Western Asset FIA BDR Nivel I,1.0,34532.83,65280.71,65280.71,XP,,,,Fundos de Investimentos,30747.879999999997,89.03956032563794
TAEE11,201.7,33.96831432821021,320.0793257312841,64560.0,"B3, MyProfit",,,,,57708.59099999999,842.287929387955
GOAU4,3503.5,9.191708291708292,18.39160839160839,64435.0,"B3, MyProfit",,,,,32231.849999999995,100.08912171635383
TAEE11 - TAESA,1.0,57975.36,57766.0,57766.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-209.36000000000058,-0.36111893052496885
VBBR3,1301.3,21.06956043956044,42.07792207792208,54756.0,"B3, MyProfit",,,,,27338.181000000004,99.70953925985143
RADL3 - RAIADROGASIL,1.0,84733.32,54094.0,54094.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,-30639.320000000007,-36.1597067127784
ELET6,1.1,41.45,45.65,50215.0,MyProfit,,,,,4.619999999999996,10.132689987937264
PRIO3 - PETRORIO,1.0,47144.05,47542.0,47542.0,Kinvo,BTG PACTUAL DIGITAL,,Ação,,397.9499999999971,0.8441150049688074
Kapitalo K10 Advisory FIF em Cotas de FIM,1.0,29390.94,46708.2,46708.2,XP,,,,Fundos de Investimentos,17317.26,58.92040200143309
